Id,LivingArea1stFlrSF,LivingArea2ndFlrSF,BathroomFullTotal,BathroomHalfTotal,Bedrooms,Fireplaces,GarageAreaSF,GarageCars,GarageYrBlt,LivingAreaTotalSF,KitchenAbvGr,LotAreaSF,LotFrontageFeet,MiscVal,MoSold,Porch3SeasonSF,PorchEnclosedSF,PorchOpenSF,PorchScreenSF,SalePrice,BsmtTotalSF,YearBuilt,YearRemodAdd,YrSold,BuildingAreaTotalSF,OtherRooms,MSZoning,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasonryVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,Electrical,KitchenQual,GarageType,GarageFinish,PavedDrive,SaleType,SaleCondition,MasonryVnr,WoodDeck,Pool,MSSubClass,OverallCond
11,1040,0,2,0,3,0,384,1,1965.0,1040,1,11200,70.0,0,2,0,0,0,0,129500,1040,1965,1965,2008,2080,2,RL,Reg,Inside,Sawyer,Norm,1Fam,1Story,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Ex,Y,SBrkr,TA,Detchd,Unf,Y,WD,Normal,N,N,N,20,5
12,1182,1142,4,0,4,2,736,3,2005.0,2324,1,11924,85.0,0,7,0,0,21,0,345000,1175,2005,2006,2006,3499,7,RL,IR1,Inside,NridgHt,Norm,1Fam,2Story,Hip,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Ex,BuiltIn,Fin,Y,New,Partial,Y,Y,N,60,5
13,912,0,2,0,2,0,352,1,1962.0,912,1,12968,70.0,0,9,0,0,0,176,144000,912,1962,1962,2008,1824,2,RL,IR2,Inside,Sawyer,Norm,1Fam,1Story,Hip,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,TA,Y,SBrkr,TA,Detchd,Unf,Y,WD,Normal,N,Y,N,20,6
14,1494,0,2,0,3,1,840,3,2006.0,1494,1,10652,91.0,0,8,0,0,33,0,279500,1494,2006,2007,2007,2988,4,RL,IR1,Inside,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,New,Partial,Y,Y,N,20,5
15,1253,0,2,1,2,1,352,1,1960.0,1253,1,10920,70.0,0,5,0,176,213,0,157000,1253,1960,1960,2008,2506,3,RL,IR1,Corner,NAmes,Norm,1Fam,1Story,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,TA,Y,SBrkr,TA,Attchd,RFn,Y,WD,Normal,Y,N,N,20,5
16,854,0,1,0,2,0,576,2,1991.0,854,1,6120,51.0,0,7,0,0,112,0,132000,832,1929,2001,2007,1686,3,RM,Reg,Corner,BrkSide,Norm,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Ex,Y,FuseA,TA,Detchd,Unf,Y,WD,Normal,N,Y,N,45,8
17,1004,0,2,0,2,1,480,2,1970.0,1004,1,11241,70.0,700,3,0,0,0,0,149000,1004,1970,1970,2010,2008,3,RL,IR1,CulDSac,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Ex,Y,SBrkr,TA,Attchd,Fin,Y,WD,Normal,Y,N,N,20,7
18,1296,0,2,0,2,0,516,2,1967.0,1296,2,10791,72.0,500,10,0,0,0,0,90000,0,1967,1967,2006,1296,4,RL,Reg,Inside,Sawyer,Norm,Duplex,1Story,Gable,MetalSd,MetalSd,None,TA,TA,Slab,TA,TA,No,Unf,TA,Y,SBrkr,TA,CarPort,Unf,Y,WD,Normal,N,N,N,90,5
19,1114,0,2,1,3,0,576,2,2004.0,1114,1,13695,66.0,0,6,0,0,102,0,159000,1114,2004,2004,2008,2228,3,RL,Reg,Inside,SawyerW,RRAe,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Ex,Y,SBrkr,Gd,Detchd,Unf,Y,WD,Normal,N,N,N,20,5
20,1339,0,1,0,3,0,294,1,1958.0,1339,1,7560,70.0,0,5,0,0,0,0,139000,1029,1958,1965,2009,2368,3,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,Hip,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,TA,Y,SBrkr,TA,Attchd,Unf,Y,COD,Abnorml,N,N,N,20,6
21,1158,1218,3,1,4,1,853,3,2005.0,2376,1,14215,101.0,0,11,0,0,154,0,325300,1158,2005,2006,2006,3534,5,RL,IR1,Corner,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,BuiltIn,RFn,Y,New,Partial,Y,Y,N,60,5
22,1108,0,1,0,3,1,280,1,1930.0,1108,1,7449,57.0,0,6,0,205,0,0,139400,637,1930,1950,2007,1745,3,RM,Reg,Inside,IDOTRR,Norm,1Fam,1.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Ex,Y,FuseF,Gd,Attchd,Unf,N,WD,Normal,N,N,N,45,7
23,1795,0,2,0,3,1,534,2,2002.0,1795,1,9742,75.0,0,9,0,0,159,0,230000,1777,2002,2002,2008,3572,4,RL,Reg,Inside,CollgCr,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,Y,N,20,5
24,1060,0,2,0,3,1,572,2,1976.0,1060,1,4224,44.0,0,6,0,0,110,0,129900,1040,1976,1976,2007,2100,3,RM,Reg,Inside,MeadowV,Norm,TwnhsE,1Story,Gable,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,TA,Y,SBrkr,TA,Attchd,Unf,Y,WD,Normal,N,Y,N,120,7
25,1060,0,2,0,3,1,270,1,1968.0,1060,1,8246,70.0,0,5,0,0,90,0,154000,1060,1968,2001,2010,2120,3,RL,IR1,Inside,Sawyer,Norm,1Fam,1Story,Gable,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,Ex,Y,SBrkr,Gd,Attchd,Unf,Y,WD,Normal,N,Y,N,20,8
26,1600,0,2,0,3,1,890,3,2007.0,1600,1,14230,110.0,0,7,0,0,56,0,256300,1566,2007,2007,2009,3166,4,RL,Reg,Corner,NridgHt,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,N,N,20,5
27,900,0,1,1,3,0,576,2,2005.0,900,1,7200,60.0,0,5,0,0,32,0,134800,900,1951,2000,2010,1800,2,RL,Reg,Corner,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,TA,Y,SBrkr,Gd,Detchd,Unf,Y,WD,Normal,N,Y,N,20,7
28,1704,0,3,0,3,1,772,3,2008.0,1704,1,11478,98.0,0,5,0,0,50,0,306000,1704,2007,2008,2010,3408,4,RL,Reg,Inside,NridgHt,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,N,N,20,5
29,1600,0,2,0,2,2,319,1,1957.0,1600,1,16321,47.0,0,12,0,0,258,0,207500,1484,1957,1997,2006,3084,4,RL,IR1,CulDSac,NAmes,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,TA,Y,SBrkr,TA,Attchd,RFn,Y,WD,Normal,N,Y,N,20,6
30,520,0,1,0,1,0,240,1,1920.0,520,1,6324,60.0,0,5,0,87,0,0,68500,520,1927,1950,2008,1040,3,RM,IR1,Inside,BrkSide,Feedr,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Fa,N,SBrkr,Fa,Detchd,Unf,Y,WD,Normal,N,Y,N,30,6
31,649,668,1,0,3,0,250,1,1920.0,1317,1,8500,50.0,0,7,0,172,54,0,40000,649,1920,1950,2008,1966,3,C (all),Reg,Inside,IDOTRR,Feedr,1Fam,2Story,Gambrel,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,TA,N,SBrkr,TA,Detchd,Unf,N,WD,Normal,N,N,N,70,4
32,1228,0,1,1,3,0,271,1,1966.0,1228,1,8544,70.0,0,6,0,0,65,0,149350,1228,1966,2006,2008,2456,3,RL,IR1,CulDSac,Sawyer,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Gd,Y,SBrkr,Gd,Attchd,Unf,Y,WD,Normal,N,N,N,20,6
33,1234,0,2,0,3,0,484,2,2007.0,1234,1,11049,85.0,0,1,0,0,30,0,179900,1234,2007,2007,2008,2468,4,RL,Reg,Corner,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,N,N,N,20,5
34,1700,0,1,2,4,1,447,2,1959.0,1700,1,10552,70.0,0,4,0,0,38,0,165500,1398,1959,1959,2010,3098,2,RL,IR1,Inside,NAmes,Norm,1Fam,1Story,Hip,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Gd,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,N,N,N,20,5
35,1561,0,3,0,2,1,556,2,2005.0,1561,1,7313,60.0,0,8,0,0,47,0,277500,1561,2005,2005,2007,3122,4,RL,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Ex,Attchd,Fin,Y,WD,Normal,Y,Y,N,120,5
36,1132,1320,3,1,4,1,691,3,2004.0,2452,1,13418,108.0,0,9,0,0,32,0,309000,1117,2004,2005,2006,3569,5,RL,Reg,Inside,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,BuiltIn,Fin,Y,WD,Normal,Y,Y,N,60,5
37,1097,0,1,1,3,0,672,2,1995.0,1097,1,10859,112.0,0,6,0,0,64,0,145000,1097,1994,1995,2009,2194,3,RL,Reg,Corner,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,TA,Attchd,Unf,Y,WD,Normal,N,Y,N,20,5
38,1297,0,1,1,3,1,498,2,1954.0,1297,1,8532,74.0,0,10,0,0,0,0,153000,1297,1954,1990,2009,2594,2,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Gd,Y,SBrkr,TA,Attchd,Fin,Y,WD,Normal,Y,N,N,20,6
39,1057,0,2,0,3,0,246,1,1953.0,1057,1,7922,68.0,0,1,0,0,52,0,109000,1057,1953,2007,2010,2114,2,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,TA,Y,SBrkr,Gd,Detchd,Unf,Y,WD,Abnorml,N,N,N,20,7
40,1152,0,2,0,2,0,0,0,1979.0,1152,2,6040,65.0,0,6,0,0,0,0,82000,0,1955,1955,2008,1152,4,RL,Reg,Inside,Edwards,Norm,Duplex,1Story,Gable,AsbShng,Plywood,None,TA,TA,PConc,TA,TA,No,Unf,TA,N,FuseP,Fa,Attchd,Unf,N,WD,AdjLand,N,N,N,90,5
41,1324,0,2,0,3,1,440,2,1965.0,1324,1,8658,84.0,0,12,0,0,138,0,160000,1088,1965,1965,2006,2412,3,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Ex,Y,SBrkr,TA,Attchd,RFn,Y,WD,Abnorml,Y,N,N,20,5
42,1328,0,1,2,2,2,308,1,1959.0,1328,1,16905,115.0,0,7,0,0,104,0,170000,1350,1959,1959,2007,2678,3,RL,Reg,Inside,Timber,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Gd,Y,SBrkr,TA,Attchd,RFn,P,WD,Normal,N,N,N,20,6
43,884,0,2,0,2,0,504,2,1983.0,884,1,9180,70.0,0,12,0,0,0,0,144000,840,1983,1983,2007,1724,3,RL,IR1,CulDSac,SawyerW,Norm,1Fam,SFoyer,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,Gd,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,N,Y,N,85,7
44,938,0,2,0,3,0,308,1,1977.0,938,1,9200,70.0,0,7,0,0,0,0,130250,938,1975,1980,2008,1876,2,RL,IR1,CulDSac,CollgCr,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,TA,Y,SBrkr,TA,Detchd,Unf,Y,WD,Normal,N,Y,N,20,6
45,1150,0,2,0,3,0,300,1,1959.0,1150,1,7945,70.0,0,5,0,0,0,0,141000,1150,1959,1959,2006,2300,3,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,Gable,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,Ex,Y,FuseA,TA,Attchd,RFn,Y,WD,Normal,N,N,N,20,6
46,1752,0,3,0,2,1,576,2,2005.0,1752,1,7658,61.0,0,2,0,0,82,0,319900,1752,2005,2005,2010,3504,4,RL,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Ex,Attchd,RFn,Y,WD,Normal,Y,Y,N,120,5
47,1518,631,2,1,1,1,670,2,2003.0,2149,1,12822,48.0,0,8,0,0,43,198,239686,1434,2003,2003,2009,3583,5,RL,IR1,CulDSac,Mitchel,Norm,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Abnorml,N,Y,N,50,5
48,1656,0,2,0,3,0,826,3,2006.0,1656,1,11096,84.0,0,7,0,0,146,0,249700,1656,2006,2006,2007,3312,4,FV,Reg,Inside,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,N,N,N,20,5
49,736,716,2,0,2,0,0,0,1979.0,1452,3,4456,33.0,0,6,0,102,0,0,113000,736,1920,2008,2009,2188,6,RM,Reg,Inside,OldTown,Norm,2fmCon,2Story,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Gd,Y,SBrkr,TA,Attchd,Unf,N,New,Partial,N,N,N,190,5
50,955,0,2,0,3,0,386,1,1966.0,955,1,7742,66.0,0,1,0,0,0,0,127000,955,1966,1966,2007,1910,3,RL,Reg,Inside,Sawyer,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Ex,Y,SBrkr,TA,Attchd,Unf,Y,WD,Normal,N,N,N,20,7
51,794,676,2,1,3,0,388,2,1997.0,1470,1,13869,70.0,0,7,0,0,75,0,177000,794,1997,1997,2007,2264,3,RL,IR2,Corner,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Gd,Y,SBrkr,TA,Attchd,Fin,Y,WD,Normal,N,N,N,60,6
52,816,0,1,0,3,1,528,2,1985.0,1176,1,6240,52.0,400,9,0,0,0,0,114500,816,1934,1950,2006,1992,3,RM,Reg,Inside,BrkSide,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,TA,Y,SBrkr,TA,Detchd,Unf,Y,WD,Normal,N,Y,N,50,6
53,816,0,2,0,2,0,516,2,1963.0,816,1,8472,110.0,0,5,0,0,0,0,110000,816,1963,1963,2010,1632,3,RM,IR2,Corner,IDOTRR,RRNn,Duplex,1Story,Gable,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,TA,N,SBrkr,TA,CarPort,Unf,Y,WD,Normal,N,Y,N,90,5
54,1842,0,2,1,0,1,894,3,1981.0,1842,1,50271,68.0,0,11,0,0,72,0,385000,1842,1981,1987,2006,3684,5,RL,IR1,Inside,Veenker,Norm,1Fam,1Story,Gable,WdShing,Wd Shng,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Gd,Y,SBrkr,Gd,Attchd,Fin,Y,WD,Normal,N,Y,N,20,5
55,1360,0,1,0,3,1,572,2,1962.0,1360,1,7134,60.0,0,2,0,0,50,0,130000,384,1955,1955,2007,1744,3,RL,Reg,Inside,NAmes,Norm,1Fam,SLvl,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,TA,Y,SBrkr,TA,Detchd,Unf,Y,WD,Normal,N,N,N,80,5
56,1425,0,2,0,3,1,576,2,1964.0,1425,1,10175,100.0,0,7,407,0,0,0,180500,1425,1964,1964,2008,2850,4,RL,IR1,Inside,NAmes,Norm,1Fam,1Story,Gable,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Gd,Y,SBrkr,TA,Attchd,RFn,Y,WD,Normal,Y,N,N,20,5
57,983,756,3,1,3,0,480,2,1999.0,1739,1,2645,24.0,0,8,0,0,0,0,172500,970,1999,2000,2009,2709,4,FV,Reg,Inside,Somerst,Norm,Twnhs,2Story,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Ex,Y,SBrkr,Gd,Attchd,Fin,Y,WD,Abnorml,Y,Y,N,160,5
58,860,860,2,1,3,0,565,2,2004.0,1720,1,11645,89.0,0,8,0,0,70,0,196500,860,2004,2004,2006,2580,4,RL,IR1,Corner,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,N,N,N,60,5
59,1426,1519,3,1,3,1,641,3,2006.0,2945,1,13682,66.0,0,10,0,37,0,0,438780,1410,2006,2006,2006,4355,7,RL,IR2,CulDSac,StoneBr,Norm,1Fam,2Story,Hip,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,Ex,Y,SBrkr,Gd,BuiltIn,Fin,Y,New,Partial,Y,Y,N,60,5
60,780,0,1,0,2,0,352,1,1973.0,780,1,7200,60.0,0,1,0,0,0,0,124900,780,1972,1972,2008,1560,2,RL,Reg,Inside,CollgCr,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,ALQ,Ex,Y,SBrkr,TA,Detchd,Unf,Y,WD,Normal,N,Y,N,20,7
61,1158,0,2,1,3,0,576,2,2006.0,1158,1,13072,63.0,0,5,0,0,50,0,158000,1158,2004,2004,2006,2316,2,RL,Reg,Inside,SawyerW,RRAe,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Ex,Y,SBrkr,Gd,Detchd,Unf,Y,New,Partial,N,N,N,20,5
62,581,530,1,0,3,0,288,1,1935.0,1111,1,7200,60.0,0,3,0,144,0,0,101000,530,1920,1996,2007,1641,3,RM,Reg,Inside,IDOTRR,Norm,1Fam,2.5Unf,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Fa,No,Unf,TA,N,SBrkr,Fa,Detchd,Unf,N,WD,Normal,N,N,N,75,7
63,1370,0,2,0,2,1,484,2,2006.0,1370,1,6442,44.0,0,10,0,0,49,0,202500,1370,2006,2006,2007,2740,4,RL,IR1,Inside,NridgHt,Norm,TwnhsE,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,Y,N,120,5
64,902,808,2,0,3,0,480,2,1990.0,1710,1,10300,50.0,0,4,0,64,11,0,140000,576,1921,1950,2010,2286,6,RM,IR1,Inside,OldTown,RRAn,1Fam,2Story,Gable,Stucco,Stucco,None,TA,TA,BrkTil,TA,TA,No,Unf,Gd,Y,SBrkr,TA,Detchd,Unf,Y,WD,Normal,N,Y,N,70,6
65,1057,977,3,1,3,0,645,2,1998.0,2034,1,9375,70.0,0,2,0,0,36,0,219500,1057,1997,1998,2009,3091,5,RL,Reg,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,Y,N,60,5
66,1143,1330,2,1,4,1,852,3,2004.0,2473,1,9591,76.0,0,10,0,0,151,0,317000,1143,2004,2005,2007,3616,5,RL,Reg,Inside,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Ex,Y,SBrkr,Gd,BuiltIn,RFn,Y,WD,Normal,Y,Y,N,60,5
68,1479,0,3,0,3,0,558,2,2003.0,1479,1,10665,72.0,0,6,0,0,29,0,226000,1453,2003,2003,2007,2932,4,RL,IR1,Inside,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Ex,Y,SBrkr,Gd,Attchd,RFn,Y,WD,Normal,Y,Y,N,20,5
69,747,0,1,0,2,0,220,1,1945.0,747,1,4608,47.0,0,6,0,0,0,0,80000,747,1945,1950,2010,1494,2,RM,Reg,Corner,OldTown,Artery,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,Unf,TA,Y,SBrkr,TA,Attchd,Unf,Y,WD,Normal,N,N,N,30,6
70,1304,983,2,0,3,1,667,2,1953.0,2287,1,15593,81.0,0,7,0,114,21,0,225000,1304,1953,1953,2006,3591,4,RL,Reg,Corner,ClearCr,Norm,1Fam,1.5Fin,Gable,BrkFace,AsbShng,None,Gd,TA,CBlock,TA,TA,No,BLQ,TA,Y,SBrkr,TA,Attchd,Fin,Y,WD,Normal,N,N,N,50,4
